text,sentiment
"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals.",1.46556570178767
"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders.",-0.166690909119038
"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else.",0.224095720450347
"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the vote that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened.",0.629995336087701
terror bombings killing us robbing america,0.574415622402231
having criminals immigrate here,-0.299667975501076
"illegal, draining our goverment resources and making no contibution to our society.  as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder.  our jails are overcrowded! if welfare recipients, who are physically able, wont work then no welfare.",1.34831701680133
we are not the lower class people and that is not right,-1.08426900181
i dont have a problem with it as long as they learn english and pay taxes,-1.02988406116979
i think that people  that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.,0.097723589806282
taking jobs from americans,-0.302686092896876
illegal immagrtants and social security,-0.412622948139258
"when i think of immigration, i think of the people who legally come to this country and apply for the necessary citizenships so that they can get a job and have the benefits of being an american and all the freedoms that come with that.",-0.951648999925495
illegal imigration is a pox on our society.,-0.518004391034897
illegals,-1.19234773942238
illegals,-1.19234773942238
illegals,-1.19234773942238
"the amount of illegal immigration, and exceptions to the legal immigration quotas that happen all the time.  i'm concerned that abuses will sink us soon.",0.325920880300161
send them all back,-1.35230515489441
that we have to many people from other countrys here,-0.812741005322036
unfair unattainable,-0.640620220544154
i'm really more worried about world population growth than about immigration per se.  i do feel that immigrants should learn english.  i do not like the idea of spanish being on an equal par with english.  speak what ever you want at home but learn enough english to function in this country.,0.134467908723621
loss of jobs for americans,-0.265750516050447
"changing the basic makeup of the united states.  creating a population with more socialistic values.  mexico is largely an economic failure, so the immigrants from there may tend to have the values that created that failure.",0.812113926029327
"i firmly believe that the u.s. is a melting pot of nationalities and races -- people of different ethnic backgrounds blending into one rich culture - without losing the distinctiveness of their own culture.  in order to accomplish this safely and effectively:  1)immigrants must be in our country legally  2)immigrants need to learn our language  3) immigrants need to obey our laws. fears about illegal immigrants: terrorism, criminal activities, heavy drain on social services & medical services, weighing down the public school systems esl & other special needs.",1.3347554789422
"illegal immigration is a drain on the welfare system, although it seems to provide laborers for jobs americans don't want, legal immigration brings  technically skilled workers (h-1b), my great grandparents, and other people who can contribute to the country.",0.889495910062929
that all the silliness about immigration will alter the fundamental character of the us as the melting pot nation.,-0.978639729127552
jobs crime taxes,0.105383127122678
"ellis island, illegal immigration, new world, fences",0.157453123271902
illegals; social security; benefits,0.549430349048552
"i come from legal immigrant parents. i believe that at this point of war and the economy looking as it is going down, immigration is not a good idea. besides this immigration is what has made the us what it is today. you can experince and live so many cultures.",-0.501203836539755
"people who come to the us to take advantage of the american dream and opportunities. unfortunately, many come over and do not become us citizens but are able to use tax-payer money to pay for their healthcare and welfare.",0.338106033309979
"i worry about the republican party doing something very stupid.  this country was built on immigration, to deny anyone access to citizenship is unconstitutional.  what happened to give me your poor, sick, and tired?",-0.282891983960603
finding teachers with multi-cultural/multi-lingual skills,-1.02587053986353
